,d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,FIPS_wikidata,State_wikidata
451,451,29173,MO,Ralls County,9,1109,Q259095,Q1581
452,452,16073,ID,Owyhee County,2,1942,Q491316,Q1221
453,453,39001,OH,Adams County,6,5543,Q109969,Q1397
454,454,2070,AK,Dillingham Census Area,9,965,N/A,Q797
455,455,15009,HI,Maui County,5,15578,Q111409,Q782
456,456,1097,AL,Mobile County,2,79364,N/A,Q173
457,457,17021,IL,Christian County,6,4013,Q111686,Q1204
458,458,30035,MT,Glacier County,7,3792,Q31091,Q1212
459,459,28099,MS,Neshoba County,7,6517,Q426398,Q1494
460,460,37011,NC,Avery County,8,2985,Q497804,Q1454
461,461,27087,MN,Mahnomen County,8,941,Q842938,Q1527
462,462,18073,IN,Jasper County,1,3032,Q506768,Q1415
463,463,27025,MN,Chisago County,1,3554,Q486309,Q1527
464,464,29185,MO,St. Clair County,8,1868,Q489853,Q1581
465,465,13043,GA,Candler County,7,2647,Q488224,Q1428
466,466,31175,NE,Valley County,9,479,Q495965,Q1553
467,467,22007,LA,Assumption Parish,6,4761,Q509895,Q1588
468,468,38061,ND,Mountrail County,9,964,Q280838,Q1207
469,469,18141,IN,St. Joseph County,2,41889,Q507427,Q1415
470,470,26035,MI,Clare County,7,6496,Q63953,Q1166
471,471,13243,GA,Randolph County,6,2063,Q498307,Q1428
472,472,20095,KS,Kingman County,6,778,Q374484,Q1558
473,473,55099,WI,Price County,9,1482,Q505644,Q1537
474,474,20121,KS,Miami County,1,2644,Q374358,Q1558
475,475,55015,WI,Calumet County,3,2462,Q494926,Q1537
476,476,17025,IL,Clay County,7,2085,Q110417,Q1204
477,477,21233,KY,Webster County,2,2311,Q506321,Q1603
478,478,36045,NY,Jefferson County,4,16468,Q115227,Q1384
479,479,17175,IL,Stark County,2,652,Q500645,Q1204
480,480,39065,OH,Hardin County,6,3906,Q490184,Q1397
481,481,12019,FL,Clay County,1,19785,Q488853,Q812
482,482,22055,LA,Lafayette Parish,3,42781,Q506892,Q1588
483,483,21213,KY,Simpson County,6,2663,Q502945,Q1603
484,484,35023,NM,Hidalgo County,7,1129,Q489613,Q1522
485,485,31099,NE,Kearney County,7,584,Q507266,Q1553
486,486,51145,VA,Powhatan County,1,1779,Q513792,Q1370
487,487,56037,WY,Sweetwater County,5,4264,Q484194,Q1214
488,488,51085,VA,Hanover County,1,5900,Q341679,Q1370
489,489,37059,NC,Davie County,2,4820,Q509786,Q1454
490,490,22033,LA,East Baton Rouge Parish,2,86888,Q491949,Q1588
491,491,21155,KY,Marion County,6,3750,Q498148,Q1603
492,492,39153,OH,Summit County,2,72687,Q485536,Q1397
493,493,35049,NM,Santa Fe County,3,20463,Q496511,Q1522
494,494,8001,CO,Adams County,1,57811,N/A,Q1261
495,495,42087,PA,Mifflin County,4,6711,Q494161,Q1400
496,496,19059,IA,Dickinson County,7,1332,Q112069,Q1546
497,497,25023,MA,Plymouth County,1,39977,Q54086,Q771
498,498,47159,TN,Smith County,1,2801,Q494634,Q1509
499,499,31123,NE,Morrill County,9,775,Q368766,Q1553
500,500,26061,MI,Houghton County,5,6762,Q45441,Q1166
501,501,42051,PA,Fayette County,1,22645,Q488683,Q1400
502,502,48029,TX,Bexar County,1,306859,Q16861,Q1439
503,503,35017,NM,Grant County,7,6308,Q426262,Q1522
504,504,28113,MS,Pike County,7,11649,Q485035,Q1494
505,505,13255,GA,Spalding County,1,14243,Q503486,Q1428
506,506,47041,TN,DeKalb County,6,3760,Q494794,Q1509
507,507,27105,MN,Nobles County,7,2500,Q491196,Q1527
508,508,19055,IA,Delaware County,6,1626,Q115281,Q1546
509,509,34025,NJ,Monmouth County,1,43866,Q502424,Q1408
510,510,41015,OR,Curry County,7,3171,Q484411,Q824
511,511,53041,WA,Lewis County,4,11155,Q483950,Q1223
512,512,42043,PA,Dauphin County,2,30247,Q488690,Q1400
513,513,29121,MO,Macon County,7,2416,Q490002,Q1581
514,514,33013,NH,Merrimack County,4,10532,Q54440,Q759
515,515,17107,IL,Logan County,6,3450,Q490980,Q1204
516,516,17183,IL,Vermilion County,3,15183,Q484273,Q1204
517,517,31127,NE,Nemaha County,7,868,Q489673,Q1553
518,518,17015,IL,Carroll County,7,1798,Q488553,Q1204
519,519,19163,IA,Scott County,2,22602,Q485474,Q1546
520,520,31049,NE,Deuel County,9,213,Q428902,Q1553
521,521,48145,TX,Falls County,6,3915,Q27238,Q1439
522,522,5005,AR,Baxter County,7,5144,N/A,Q1612
523,523,39131,OH,Pike County,7,5660,Q489919,Q1397
524,524,16019,ID,Bonneville County,3,13072,Q486380,Q1221
525,525,12007,FL,Bradford County,6,4392,Q156577,Q812
526,526,19115,IA,Louisa County,8,1253,Q486011,Q1546
527,527,21123,KY,Larue County,3,2312,Q498128,Q1603
528,528,21205,KY,Rowan County,7,5389,Q505510,Q1603
529,529,55033,WI,Dunn County,6,5164,Q494919,Q1537
530,530,16041,ID,Franklin County,3,1239,Q494494,Q1221
531,531,48465,TX,Val Verde County,5,9703,Q26730,Q1439
532,532,27061,MN,Itasca County,6,5898,Q486238,Q1527
533,533,53013,WA,Columbia County,6,543,Q156253,Q1223
534,534,38089,ND,Stark County,7,2433,Q282188,Q1207
535,535,21131,KY,Leslie County,9,3265,Q503501,Q1603
536,536,46009,SD,Bon Homme County,9,811,Q484234,Q1211
537,537,50007,VT,Chittenden County,3,14667,Q509770,Q16551
538,538,30017,MT,Custer County,7,1318,Q490789,Q1212
539,539,37037,NC,Chatham County,2,8384,Q504410,Q1454
540,540,1113,AL,Russell County,2,11108,N/A,Q173
541,541,34021,NJ,Mercer County,2,39066,Q496886,Q1408
542,542,48479,TX,Webb County,3,85150,Q484183,Q1439
543,543,39167,OH,Washington County,3,8100,Q489571,Q1397
544,544,16055,ID,Kootenai County,3,22165,Q494460,Q1221
545,545,41061,OR,Union County,7,4058,Q495691,Q824
546,546,36113,NY,Warren County,3,7479,Q56151,Q1384
547,547,18107,IN,Montgomery County,6,4157,Q512686,Q1415
548,548,13311,GA,White County,8,4030,Q389365,Q1428
549,549,47001,TN,Anderson County,2,10753,Q490318,Q1509
550,550,26095,MI,Luce County,7,1092,Q490649,Q1166
551,551,19173,IA,Taylor County,9,751,Q176068,Q1546
552,552,51127,VA,New Kent County,1,1202,Q337270,Q1370
553,553,54093,WV,Tucker County,9,1067,Q118743,Q1371
554,554,40045,OK,Ellis County,9,523,Q485013,Q1649
555,555,2020,AK,Anchorage Borough,2,21108,N/A,Q797
556,556,48469,TX,Victoria County,3,12900,Q26699,Q1439
557,557,31163,NE,Sherman County,9,368,Q495799,Q1553
558,558,13111,GA,Fannin County,8,3485,Q493079,Q1428
559,559,39151,OH,Stark County,2,48072,Q421974,Q1397
560,560,35059,NM,Union County,9,705,Q485020,Q1522
561,561,21025,KY,Breathitt County,7,4466,Q491843,Q1603
562,562,19149,IA,Plymouth County,6,2091,Q485710,Q1546
563,563,10005,DE,Sussex County,4,25212,Q156213,Q1393
564,564,6105,CA,Trinity County,8,2668,N/A,Q99
565,565,20125,KS,Montgomery County,5,5953,Q374547,Q1558
566,566,26165,MI,Wexford County,7,5812,Q506975,Q1166
567,567,20101,KS,Lane County,9,164,Q376849,Q1558
568,568,5011,AR,Bradley County,6,2544,N/A,Q1612
569,569,26129,MI,Ogemaw County,9,3564,Q507169,Q1166
570,570,23017,ME,Oxford County,6,7565,Q502592,Q724
571,571,28155,MS,Webster County,9,2002,Q486435,Q1494
572,572,39061,OH,Hamilton County,1,126002,Q152891,Q1397
573,573,42023,PA,Cameron County,7,655,Q494142,Q1400
574,574,13183,GA,Long County,3,3365,Q493033,Q1428
575,575,51775,VA,Salem city,2,2160,Q502230,Q1370
576,576,41029,OR,Jackson County,3,31189,Q450159,Q824
577,577,18019,IN,Clark County,1,11983,Q504441,Q1415
578,578,36017,NY,Chenango County,6,7248,Q487616,Q1384
579,579,36093,NY,Schenectady County,2,17158,Q487599,Q1384
580,580,33011,NH,Hillsborough County,2,31972,Q54439,Q759
581,581,21171,KY,Monroe County,9,2409,Q505453,Q1603
582,582,18077,IN,Jefferson County,6,4061,Q1139839,Q1415
583,583,21169,KY,Metcalfe County,9,2244,Q505287,Q1603
584,584,26135,MI,Oscoda County,9,1522,Q502576,Q1166
585,585,12093,FL,Okeechobee County,4,7547,Q501123,Q812
586,586,5059,AR,Hot Spring County,6,4541,N/A,Q1612
587,587,27107,MN,Norman County,8,777,Q486265,Q1527
588,588,42071,PA,Lancaster County,2,56082,Q142369,Q1400
589,589,30071,MT,Phillips County,9,631,Q496577,Q1212
590,590,46025,SD,Clark County,9,398,Q489083,Q1211
591,591,12103,FL,Pinellas County,1,125923,Q494556,Q812
592,592,48365,TX,Panola County,6,3598,Q156380,Q1439
593,593,1059,AL,Franklin County,6,6272,N/A,Q173
594,594,48205,TX,Hartley County,9,452,Q112714,Q1439
595,595,1045,AL,Dale County,4,9936,N/A,Q173
596,596,22109,LA,Terrebonne Parish,3,23521,Q387555,Q1588
597,597,32009,NV,Esmeralda County,9,117,Q484349,Q1227
598,598,35011,NM,DeBaca County,9,378,Q182176,Q1522
599,599,13079,GA,Crawford County,3,2355,Q486401,Q1428
600,600,42033,PA,Clearfield County,4,10543,Q494233,Q1400
601,601,13159,GA,Jasper County,1,2282,Q224910,Q1428
602,602,1087,AL,Macon County,6,5183,N/A,Q173
603,603,2240,AK,Southeast Fairbanks Census Area,8,804,N/A,Q797
604,604,31159,NE,Seward County,2,1252,Q124637,Q1553
605,605,17043,IL,DuPage County,1,64330,Q109626,Q1204
606,606,28037,MS,Franklin County,9,1554,Q130006,Q1494
607,607,48359,TX,Oldham County,8,261,Q112526,Q1439
608,608,8085,CO,Montrose County,7,6716,N/A,Q1261
609,609,25011,MA,Franklin County,2,6926,Q54163,Q771
610,610,46021,SD,Campbell County,9,131,Q489106,Q1211
611,611,18149,IN,Starke County,6,3694,Q507382,Q1415
612,612,53059,WA,Skamania County,1,1543,Q304791,Q1223
613,613,20011,KS,Bourbon County,6,2465,Q376592,Q1558
614,614,13307,GA,Webster County,8,539,Q491514,Q1428
615,615,48449,TX,Titus County,7,4749,Q113096,Q1439
616,616,54097,WV,Upshur County,7,4705,Q495175,Q1371
617,617,19005,IA,Allamakee County,6,1786,Q111859,Q1546
618,618,47095,TN,Lake County,9,2151,Q494771,Q1509
619,619,47163,TN,Sullivan County,3,25304,Q501918,Q1509
620,620,41027,OR,Hood River County,6,2459,Q484361,Q824
621,621,31155,NE,Saunders County,2,1524,Q495834,Q1553
622,622,38069,ND,Pierce County,7,522,Q48878,Q1207
623,623,21101,KY,Henderson County,2,7739,Q491894,Q1603
624,624,31111,NE,Lincoln County,5,3272,Q496096,Q1553
625,625,20175,KS,Seward County,7,3017,Q377122,Q1558
626,626,26127,MI,Oceana County,8,4630,Q63951,Q1166
627,627,42121,PA,Venango County,4,7507,Q494241,Q1400
628,628,32011,NV,Eureka County,9,189,Q484381,Q1227
629,629,54031,WV,Hardy County,8,2096,Q370310,Q1371
630,630,21137,KY,Lincoln County,7,5499,Q498066,Q1603
631,631,6081,CA,San Mateo County,1,50438,N/A,Q99
632,632,15007,HI,Kauai County,5,5716,Q111517,Q782
633,633,27057,MN,Hubbard County,7,2677,Q486218,Q1527
634,634,42017,PA,Bucks County,1,40872,Q494192,Q1400
635,635,18129,IN,Posey County,2,2192,Q512937,Q1415
636,636,51810,VA,Virginia Beach city,1,36494,Q49259,Q1370
637,637,39119,OH,Muskingum County,4,12435,Q497208,Q1397
638,638,42103,PA,Pike County,1,5397,Q495649,Q1400
639,639,48505,TX,Zapata County,6,4162,Q109298,Q1439
640,640,47039,TN,Decatur County,9,2164,Q489430,Q1509
641,641,37193,NC,Wilkes County,6,11378,Q430328,Q1454
642,642,53067,WA,Thurston County,3,28354,Q113773,Q1223
643,643,34041,NJ,Warren County,2,8708,Q502468,Q1408
644,644,8065,CO,Lake County,7,1093,N/A,Q1261
645,645,13283,GA,Treutlen County,7,1717,Q503071,Q1428
646,646,13285,GA,Troup County,4,13731,Q498295,Q1428
647,647,31055,NE,Douglas County,2,67359,Q490695,Q1553
648,648,27125,MN,Red Lake County,8,390,Q490436,Q1527
649,649,45009,SC,Bamberg County,7,3885,Q497890,Q1456
650,650,12073,FL,Leon County,2,52124,Q488576,Q812
651,651,21061,KY,Edmonson County,3,2668,Q500742,Q1603
652,652,48053,TX,Burnet County,6,5181,Q108784,Q1439
653,653,47009,TN,Blount County,2,14401,Q475301,Q1509
654,654,17125,IL,Mason County,6,1996,Q491343,Q1204
655,655,47105,TN,Loudon County,2,5414,Q501927,Q1509
656,656,48393,TX,Roberts County,9,60,Q114445,Q1439
657,657,19073,IA,Greene County,6,998,Q488566,Q1546
658,658,37177,NC,Tyrrell County,9,966,Q507918,Q1454
659,659,21173,KY,Montgomery County,6,4881,Q269164,Q1603
660,660,48115,TX,Dawson County,7,2508,Q110670,Q1439
661,661,5125,AR,Saline County,2,10160,N/A,Q1612
662,662,48213,TX,Henderson County,4,13151,Q112793,Q1439
663,663,21121,KY,Knox County,7,12097,Q500767,Q1603
664,664,19097,IA,Jackson County,6,2497,Q485780,Q1546
665,665,41033,OR,Josephine County,4,15239,Q484391,Q824
666,666,35015,NM,Eddy County,5,8674,Q485245,Q1522
667,667,55065,WI,Lafayette County,8,1937,Q431440,Q1537
668,668,29151,MO,Osage County,3,1139,Q489894,Q1581
669,669,29111,MO,Lewis County,9,1590,Q490095,Q1581
670,670,29213,MO,Taney County,6,9006,Q496962,Q1581
671,671,45063,SC,Lexington County,2,33254,Q502411,Q1456
672,672,6077,CA,San Joaquin County,2,105268,N/A,Q99
673,673,12105,FL,Polk County,2,106703,Q501043,Q812
674,674,47035,TN,Cumberland County,7,8841,Q489056,Q1509
675,675,20127,KS,Morris County,9,646,Q374342,Q1558
676,676,48075,TX,Childress County,7,1203,Q109751,Q1439
677,677,42005,PA,Armstrong County,1,9100,Q494186,Q1400
678,678,32033,NV,White Pine County,7,1220,Q495398,Q1227
679,679,12075,FL,Levy County,8,8467,Q501022,Q812
680,680,37175,NC,Transylvania County,6,5415,Q507743,Q1454
681,681,51790,VA,Staunton city,4,2990,Q502250,Q1370
682,682,21007,KY,Ballard County,9,1277,Q491872,Q1603
683,683,39017,OH,Butler County,1,45165,Q485561,Q1397
684,684,54023,WV,Grant County,6,1737,Q494223,Q1371
685,685,47119,TN,Maury County,4,10204,Q502393,Q1509
686,686,13237,GA,Putnam County,6,3914,Q498341,Q1428
687,687,55117,WI,Sheboygan County,3,7934,Q500803,Q1537
688,688,6059,CA,Orange County,1,348173,N/A,Q99
689,689,32029,NV,Storey County,2,316,Q484431,Q1227
690,690,40085,OK,Love County,9,1376,Q489312,Q1649
691,691,17123,IL,Marshall County,2,1144,Q491463,Q1204
692,692,6093,CA,Siskiyou County,7,8109,N/A,Q99
693,693,12101,FL,Pasco County,1,66980,Q500992,Q812
694,694,33005,NH,Cheshire County,4,6078,Q54443,Q759
695,695,8073,CO,Lincoln County,8,834,N/A,Q1261
696,696,39105,OH,Meigs County,6,4815,Q489915,Q1397
697,697,48307,TX,McCulloch County,7,1479,Q112149,Q1439
698,698,28083,MS,Leflore County,5,10146,Q497607,Q1494
699,699,48239,TX,Jackson County,6,1966,Q110262,Q1439
700,700,19197,IA,Wright County,7,1578,Q491452,Q1546
701,701,13053,GA,Chattahoochee County,2,1639,Q486394,Q1428
702,702,46099,SD,Minnehaha County,3,18046,Q489222,Q1211
703,703,21095,KY,Harlan County,7,9889,Q500751,Q1603
704,704,48113,TX,Dallas County,1,413956,Q111168,Q1439
705,705,40123,OK,Pontotoc County,7,5983,Q495856,Q1649
706,706,51570,VA,Colonial Heights city,1,1819,Q501789,Q1370
707,707,48455,TX,Trinity County,8,2864,Q27009,Q1439
708,708,18055,IN,Greene County,3,5120,Q506181,Q1415
709,709,1015,AL,Calhoun County,3,19057,N/A,Q173
710,710,19049,IA,Dallas County,2,4118,Q110680,Q1546
711,711,27065,MN,Kanabec County,6,2064,Q490454,Q1527
712,712,20097,KS,Kiowa County,9,302,Q379663,Q1558
713,713,13069,GA,Coffee County,7,9153,Q156503,Q1428
714,714,53057,WA,Skagit County,3,13787,Q113892,Q1223
715,715,51520,VA,Bristol city,3,3953,Q503366,Q1370
716,716,29057,MO,Dade County,8,1312,Q484760,Q1581
717,717,56045,WY,Weston County,7,734,Q115413,Q1214
718,718,6037,CA,Los Angeles County,1,1629450,N/A,Q99
719,719,38083,ND,Sheridan County,9,222,Q500598,Q1207
720,720,8087,CO,Morgan County,6,3221,N/A,Q1261
721,721,6101,CA,Sutter County,3,16390,N/A,Q99
722,722,30069,MT,Petroleum County,9,74,Q496636,Q1212
723,723,21177,KY,Muhlenberg County,6,5732,Q498077,Q1603
724,724,4011,AZ,Greenlee County,7,1144,N/A,Q816
725,725,53071,WA,Walla Walla County,4,7906,Q485305,Q1223
726,726,48345,TX,Motley County,8,210,Q483888,Q1439
727,727,55093,WI,Pierce County,1,3153,Q501575,Q1537
728,728,26149,MI,St. Joseph County,4,8948,Q167589,Q1166
729,729,24019,MD,Dorchester County,6,5531,Q501263,Q1391
730,730,21081,KY,Grant County,1,3787,Q491959,Q1603
731,731,54015,WV,Clay County,2,2541,Q847673,Q1371
732,732,48381,TX,Randall County,3,11784,Q112086,Q1439
733,733,29153,MO,Ozark County,9,2315,Q489869,Q1581
734,734,54083,WV,Randolph County,7,4974,Q501819,Q1371
735,735,4025,AZ,Yavapai County,3,29418,N/A,Q816
736,736,45055,SC,Kershaw County,2,9941,Q506162,Q1456
737,737,41017,OR,Deschutes County,3,19113,Q484420,Q824
738,738,21237,KY,Wolfe County,9,2252,Q503438,Q1603
739,739,48087,TX,Collingsworth County,9,584,Q111647,Q1439
740,740,21099,KY,Hart County,8,3998,Q491911,Q1603
741,741,19037,IA,Chickasaw County,6,1303,Q113805,Q1546
742,742,28145,MS,Union County,7,3655,Q115344,Q1494
743,743,48285,TX,Lavaca County,6,2418,Q27023,Q1439
744,744,6091,CA,Sierra County,8,419,N/A,Q99
745,745,24021,MD,Frederick County,1,16793,Q501345,Q1391
746,746,29043,MO,Christian County,2,8921,Q485224,Q1581
747,747,46105,SD,Perkins County,9,374,Q495195,Q1211
748,748,31147,NE,Richardson County,7,973,Q489762,Q1553
749,749,32017,NV,Lincoln County,8,675,Q484335,Q1227
750,750,21077,KY,Gallatin County,1,1238,Q500654,Q1603
751,751,29053,MO,Cooper County,6,2362,Q484452,Q1581
752,752,37159,NC,Rowan County,4,22283,Q507966,Q1454
753,753,22041,LA,Franklin Parish,7,5728,Q504391,Q1588
754,754,24029,MD,Kent County,6,2565,Q494228,Q1391
755,755,30037,MT,Golden Valley County,8,147,Q502554,Q1212
756,756,28053,MS,Humphreys County,7,3268,Q130009,Q1494
757,757,54011,WV,Cabell County,2,20129,Q494129,Q1371
758,758,33017,NH,Strafford County,1,9094,Q54441,Q759
759,759,13167,GA,Johnson County,9,2277,Q163529,Q1428
760,760,51051,VA,Dickenson County,9,3684,Q495169,Q1370
761,761,28105,MS,Oktibbeha County,5,12741,Q497615,Q1494
762,762,20015,KS,Butler County,2,5745,Q376505,Q1558
763,763,42037,PA,Columbia County,4,8349,Q488693,Q1400
764,764,48339,TX,Montgomery County,1,59836,Q26756,Q1439
765,765,51167,VA,Russell County,6,4584,Q507117,Q1370
766,766,38101,ND,Ward County,5,5903,Q48927,Q1207
767,767,49043,UT,Summit County,2,2412,Q484563,Q829
768,768,6063,CA,Plumas County,7,2312,N/A,Q99
769,769,1025,AL,Clarke County,7,6977,N/A,Q173
770,770,54099,WV,Wayne County,2,8651,Q495126,Q1371
771,771,13083,GA,Dade County,2,2377,Q486654,Q1428
772,772,48325,TX,Medina County,1,6746,Q110421,Q1439
773,773,46117,SD,Stanley County,9,237,Q495280,Q1211
774,774,37003,NC,Alexander County,2,5401,Q491584,Q1454
775,775,28107,MS,Panola County,6,7699,Q490272,Q1494
776,776,18101,IN,Martin County,6,1241,Q506479,Q1415
777,777,48493,TX,Wilson County,1,4958,Q156479,Q1439
778,778,51075,VA,Goochland County,1,1393,Q506191,Q1370
779,779,38023,ND,Divide County,9,231,Q28311,Q1207
780,780,19023,IA,Butler County,8,1416,Q113783,Q1546
781,781,37085,NC,Harnett County,4,20400,Q497861,Q1454
782,782,34007,NJ,Camden County,1,60385,Q497810,Q1408
783,783,13259,GA,Stewart County,8,1634,Q491543,Q1428
784,784,17111,IL,McHenry County,1,22253,Q487403,Q1204
785,785,17017,IL,Cass County,6,1708,Q110516,Q1204
786,786,55121,WI,Trempealeau County,8,2391,Q494923,Q1537
787,787,48109,TX,Culberson County,9,516,Q108607,Q1439
788,788,48263,TX,Kent County,9,83,Q110978,Q1439
789,789,38019,ND,Cavalier County,9,364,Q28523,Q1207
790,790,55013,WI,Burnett County,8,2068,Q494952,Q1537
791,791,13277,GA,Tift County,4,8669,Q498346,Q1428
792,792,19169,IA,Story County,3,16340,Q485364,Q1546
793,793,31067,NE,Gage County,6,2430,Q203049,Q1553
794,794,16057,ID,Latah County,4,6326,Q284840,Q1221
795,795,55041,WI,Forest County,9,1409,Q502086,Q1537
796,796,51079,VA,Greene County,3,1618,Q163097,Q1370
797,797,25021,MA,Norfolk County,1,41497,Q54079,Q771
798,798,39121,OH,Noble County,6,1744,Q489912,Q1397
799,799,19093,IA,Ida County,8,696,Q156642,Q1546
800,800,36117,NY,Wayne County,1,9296,Q56146,Q1384
801,801,29205,MO,Shelby County,9,977,Q496447,Q1581
802,802,5035,AR,Crittenden County,1,12314,N/A,Q1612
803,803,40113,OK,Osage County,2,7139,Q495925,Q1649
804,804,6079,CA,San Luis Obispo County,3,29345,N/A,Q99
805,805,54107,WV,Wood County,3,14510,Q501331,Q1371
806,806,12087,FL,Monroe County,4,8801,Q263742,Q812
807,807,21209,KY,Scott County,2,5400,Q498028,Q1603
808,808,48495,TX,Winkler County,6,1164,Q114479,Q1439
809,809,44007,RI,Providence County,1,96214,Q54253,Q1387
810,810,37005,NC,Alleghany County,9,2203,Q497899,Q1454
811,811,48183,TX,Gregg County,3,20929,Q109275,Q1439
812,812,8039,CO,Elbert County,1,1516,N/A,Q1261
813,813,51179,VA,Stafford County,1,7935,Q341755,Q1370
814,814,46095,SD,Mellette County,9,676,Q495261,Q1211
815,815,40073,OK,Kingfisher County,6,1605,Q267164,Q1649
816,816,48197,TX,Hardeman County,7,692,Q109317,Q1439
817,817,21111,KY,Jefferson County,1,111467,Q500776,Q1603
818,818,54043,WV,Lincoln County,2,5101,Q495151,Q1371
819,819,48005,TX,Angelina County,5,16085,Q108379,Q1439
820,820,26019,MI,Benzie County,9,1876,Q486043,Q1166
821,821,40103,OK,Noble County,6,1499,Q495570,Q1649
822,822,30065,MT,Musselshell County,8,790,Q496583,Q1212
823,823,51061,VA,Fauquier County,1,3978,Q502213,Q1370
824,824,47029,TN,Cocke County,6,8448,Q488943,Q1509
825,825,13151,GA,Henry County,1,21101,Q492053,Q1428
826,826,13163,GA,Jefferson County,6,3867,Q486386,Q1428
827,827,50017,VT,Orange County,9,2986,Q505444,Q16551
828,828,48253,TX,Jones County,3,3138,Q483895,Q1439
829,829,31019,NE,Buffalo County,5,5287,Q484488,Q1553
830,830,28023,MS,Clarke County,9,3296,Q115349,Q1494
831,831,12133,FL,Washington County,6,5026,Q263418,Q812
832,832,38057,ND,Mercer County,6,561,Q48905,Q1207
833,833,38009,ND,Bottineau County,9,701,Q29124,Q1207
834,834,35045,NM,San Juan County,3,19749,Q156265,Q1522
835,835,19111,IA,Lee County,5,4643,Q485787,Q1546
836,836,49027,UT,Millard County,7,1407,Q26760,Q829
837,837,48255,TX,Karnes County,6,2677,Q111385,Q1439
838,838,45011,SC,Barnwell County,6,4789,Q497917,Q1456
839,839,37129,NC,New Hanover County,2,37472,Q508209,Q1454
840,840,1119,AL,Sumter County,8,3933,N/A,Q173
841,841,37123,NC,Montgomery County,6,5655,Q506697,Q1454
842,842,51067,VA,Franklin County,2,7192,Q502036,Q1370
843,843,27155,MN,Traverse County,9,414,Q491160,Q1527
844,844,29181,MO,Ripley County,9,3776,Q489796,Q1581
845,845,47099,TN,Lawrence County,6,7076,Q505968,Q1509
846,846,46087,SD,McCook County,3,545,Q495285,Q1211
847,847,21073,KY,Franklin County,4,6708,Q491919,Q1603
848,848,17137,IL,Morgan County,4,4962,Q490989,Q1204
849,849,53011,WA,Clark County,1,41909,Q156287,Q1223
850,850,19125,IA,Marion County,6,2725,Q485452,Q1546
851,851,15003,HI,Honolulu County,2,81341,Q487704,Q782
852,852,26147,MI,St. Clair County,1,21781,Q115273,Q1166
853,853,47143,TN,Rhea County,6,5739,Q502377,Q1509
854,854,26155,MI,Shiawassee County,4,8106,Q115480,Q1166
855,855,37145,NC,Person County,2,5962,Q508271,Q1454
856,856,20135,KS,Ness County,9,325,Q374460,Q1558
857,857,20189,KS,Stevens County,7,551,Q402259,Q1558
858,858,48035,TX,Bosque County,6,2797,Q108424,Q1439
859,859,40005,OK,Atoka County,7,2596,Q485042,Q1649
860,860,51740,VA,Portsmouth city,1,16775,Q342803,Q1370
861,861,35021,NM,Harding County,9,95,Q484465,Q1522
862,862,54079,WV,Putnam County,2,6090,Q501809,Q1371
863,863,36105,NY,Sullivan County,4,12240,Q70979,Q1384
864,864,28061,MS,Jasper County,9,3748,Q490843,Q1494
865,865,48033,TX,Borden County,9,67,Q108866,Q1439
866,866,36075,NY,Oswego County,2,19549,Q487581,Q1384
867,867,21141,KY,Logan County,6,4581,Q491479,Q1603
868,868,13109,GA,Evans County,6,2500,Q493044,Q1428
869,869,23005,ME,Cumberland County,2,28431,Q497788,Q724
870,870,6113,CA,Yolo County,1,39303,N/A,Q99
871,871,19193,IA,Woodbury County,3,13318,Q486006,Q1546
872,872,22015,LA,Bossier Parish,2,20555,Q498042,Q1588
873,873,5007,AR,Benton County,2,23131,N/A,Q1612
874,874,39041,OH,Delaware County,1,9083,Q485524,Q1397
875,875,18181,IN,White County,6,2571,Q507294,Q1415
876,876,40059,OK,Harper County,9,388,Q485001,Q1649
877,877,5115,AR,Pope County,5,10433,N/A,Q1612
878,878,8097,CO,Pitkin County,7,1227,N/A,Q1261
879,879,22101,LA,St. Mary Parish,4,11371,Q507088,Q1588
880,880,8025,CO,Crowley County,8,1471,N/A,Q1261
881,881,23013,ME,Knox County,7,4376,Q502581,Q724
882,882,46097,SD,Miner County,8,272,Q338939,Q1211
883,883,37061,NC,Duplin County,6,12418,Q511788,Q1454
884,884,18153,IN,Sullivan County,3,2640,Q426746,Q1415
885,885,19009,IA,Audubon County,8,616,Q111913,Q1546
886,886,51141,VA,Patrick County,8,3151,Q514024,Q1370
887,887,40091,OK,McIntosh County,6,4133,Q495951,Q1649
888,888,48349,TX,Navarro County,4,8491,Q112603,Q1439
889,889,21163,KY,Meade County,1,3716,Q505438,Q1603
890,890,27171,MN,Wright County,1,6912,Q490390,Q1527
891,891,29137,MO,Monroe County,9,1298,Q490023,Q1581
892,892,48235,TX,Irion County,3,125,Q156582,Q1439
893,893,22013,LA,Bienville Parish,6,3171,Q369211,Q1588
894,894,21085,KY,Grayson County,6,5585,Q500674,Q1603
895,895,38037,ND,Grant County,8,367,Q48834,Q1207
896,896,51113,VA,Madison County,8,1444,Q513891,Q1370
897,897,19129,IA,Mills County,2,1276,Q485720,Q1546
898,898,21049,KY,Clark County,2,5618,Q486048,Q1603
899,899,51173,VA,Smyth County,6,5485,Q378896,Q1370
900,900,13161,GA,Jeff Davis County,7,3508,Q493071,Q1428
901,901,20195,KS,Trego County,9,309,Q374626,Q1558
902,902,30003,MT,Big Horn County,6,3368,Q109503,Q1212
903,903,5103,AR,Ouachita County,7,5849,N/A,Q1612
